"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"dataset"
"MAPRE2"	109	3.33	0.000867	0.0823	"GSE1159"
"DNMT3B"	121	3.32	0.000906	0.0823	"GSE1159"
"DAPK1"	96	3.29	0.000994	0.0823	"GSE1159"
"TCEAL4"	140	3.28	0.00102	0.0823	"GSE1159"
"TCEA2"	70	3.28	0.00105	0.0823	"GSE1159"
"DEPTOR"	137	3.28	0.00105	0.0823	"GSE1159"
"SH2D1A"	26	3.27	0.00107	0.0823	"GSE1159"
"TLR3"	44	3.25	0.00116	0.0823	"GSE1159"
"MYCN"	69	3.24	0.00119	0.0823	"GSE1159"
"PRKACB"	134	3.24	0.00119	0.0823	"GSE1159"
"TSC22D1"	103	3.23	0.00124	0.0823	"GSE1159"
"ZSCAN18"	110	3.21	0.00131	0.0823	"GSE1159"
"HSP90AB1"	127	3.21	0.00132	0.0823	"GSE1159"
"DZIP3"	67	3.19	0.0014	0.0823	"GSE1159"
"ARHGAP22"	119	3.19	0.00141	0.0823	"GSE1159"
"SSBP2"	111	3.19	0.00141	0.0823	"GSE1159"
"LANCL1"	141	3.19	0.00144	0.0823	"GSE1159"
"ZNF22"	161	3.19	0.00144	0.0823	"GSE1159"
"LZTFL1"	80	3.18	0.00145	0.0823	"GSE1159"
"NAB1"	96	3.18	0.00149	0.0823	"GSE1159"
"NF1"	61	3.18	0.00149	0.0823	"GSE1159"
"GRIK5"	55	3.17	0.00151	0.0823	"GSE1159"
"VAV3"	78	3.17	0.00152	0.0823	"GSE1159"
"RPL22"	90	3.16	0.00156	0.0823	"GSE1159"
"MKL2"	62	3.14	0.00167	0.0823	"GSE1159"
"ADGRA3"	59	3.14	0.00168	0.0823	"GSE1159"
"GATA2"	68	3.14	0.00169	0.0823	"GSE1159"
"HHEX"	77	3.14	0.00171	0.0823	"GSE1159"
"ZNHIT6"	209	3.13	0.00173	0.0823	"GSE1159"
"TIE1"	58	3.13	0.00175	0.0823	"GSE1159"
"RABGAP1"	85	3.12	0.0018	0.0823	"GSE1159"
"ZEB1"	92	3.11	0.00186	0.0823	"GSE1159"
"TRAF3IP2"	69	3.1	0.00196	0.0823	"GSE1159"
"SUPT3H"	37	3.09	0.00201	0.0823	"GSE1159"
"ADA"	65	3.09	0.00202	0.0823	"GSE1159"
"ACAP1"	40	3.08	0.00204	0.0823	"GSE1159"
"TFDP2"	126	3.08	0.00204	0.0823	"GSE1159"
"ERG"	113	3.08	0.00205	0.0823	"GSE1159"
"BCL11A"	91	3.08	0.00206	0.0823	"GSE1159"
"ASMTL"	63	3.07	0.00211	0.0823	"GSE1159"
"SMAD1"	51	3.07	0.00211	0.0823	"GSE1159"
"SCAI"	61	3.06	0.00223	0.0823	"GSE1159"
"SCARF1"	63	3.06	0.00223	0.0823	"GSE1159"
"RYK"	43	3.06	0.00223	0.0823	"GSE1159"
"ADGRG1"	143	3.05	0.00227	0.0823	"GSE1159"
"PLAGL1"	91	3.05	0.0023	0.0823	"GSE1159"
"RFX7"	95	3.04	0.00234	0.0823	"GSE1159"
"BCR"	104	3.03	0.00242	0.0823	"GSE1159"
"ZNF33B"	76	3.03	0.00243	0.0823	"GSE1159"
"TGIF2"	65	3.03	0.00248	0.0823	"GSE1159"
"CYTL1"	112	3.02	0.00249	0.0823	"GSE1159"
"SOX12"	80	3.02	0.00252	0.0823	"GSE1159"
"RAB27B"	63	3.02	0.00255	0.0823	"GSE1159"
"SOCS2"	74	3.01	0.00258	0.0823	"GSE1159"
"NET1"	56	3.01	0.0026	0.0823	"GSE1159"
"ZNF165"	31	3.01	0.00261	0.0823	"GSE1159"
"DFFA"	96	3	0.00266	0.0823	"GSE1159"
"DEAF1"	75	3	0.0027	0.0823	"GSE1159"
"ZMIZ1"	93	2.99	0.00275	0.0823	"GSE1159"
"MAGED1"	46	2.99	0.00276	0.0823	"GSE1159"
"ZNF443"	34	2.99	0.00276	0.0823	"GSE1159"
"SAV1"	31	2.99	0.0028	0.0823	"GSE1159"
"MAX"	88	2.99	0.00281	0.0823	"GSE1159"
"CALCRL"	65	2.99	0.00283	0.0823	"GSE1159"
"PDCL"	38	2.98	0.00285	0.0823	"GSE1159"
"KIFAP3"	92	2.98	0.0029	0.0823	"GSE1159"
"TRAPPC2"	70	2.97	0.00297	0.0823	"GSE1159"
"PTK7"	51	2.97	0.00301	0.0823	"GSE1159"
"KIT"	47	2.96	0.00305	0.0823	"GSE1159"
"MPZL1"	57	2.96	0.00306	0.0823	"GSE1159"
"ZNF395"	69	2.96	0.00309	0.0823	"GSE1159"
"RCBTB1"	79	2.96	0.00311	0.0823	"GSE1159"
"DVL2"	41	2.96	0.00311	0.0823	"GSE1159"
"MED12"	75	2.95	0.00314	0.0823	"GSE1159"
"SOX4"	92	2.95	0.00316	0.0823	"GSE1159"
"INPP5B"	67	2.95	0.00319	0.0823	"GSE1159"
"RHOBTB1"	64	2.95	0.00323	0.0823	"GSE1159"
"NEDD4"	91	2.94	0.00328	0.0823	"GSE1159"
"TCF4"	76	2.94	0.00332	0.0823	"GSE1159"
"TGFBRAP1"	64	2.93	0.00338	0.0823	"GSE1159"
"PRKCQ"	124	2.93	0.00339	0.0823	"GSE1159"
"TRAF5"	107	2.93	0.00341	0.0823	"GSE1159"
"KAT6B"	141	2.93	0.00344	0.0823	"GSE1159"
"PEBP1"	76	2.92	0.00347	0.0823	"GSE1159"
"PRKCI"	163	2.92	0.00348	0.0823	"GSE1159"
"ELMO1"	115	2.92	0.00353	0.0823	"GSE1159"
"ZNF227"	58	2.92	0.00353	0.0823	"GSE1159"
"F2R"	43	2.92	0.00355	0.0823	"GSE1159"
"PARP1"	86	2.91	0.00366	0.0823	"GSE1159"
"RAB38"	63	2.91	0.00367	0.0823	"GSE1159"
"CDK6"	68	2.9	0.00373	0.0823	"GSE1159"
"E2F5"	59	2.9	0.00375	0.0823	"GSE1159"
"GNA15"	103	2.9	0.00377	0.0823	"GSE1159"
"NFYB"	73	2.9	0.00379	0.0823	"GSE1159"
"ZNF141"	35	2.89	0.00381	0.0823	"GSE1159"
"APEX1"	112	2.89	0.00381	0.0823	"GSE1159"
"TCEAL1"	130	2.88	0.00395	0.0823	"GSE1159"
"ZNF329"	25	2.88	0.00397	0.0823	"GSE1159"
"ASAP2"	43	2.88	0.00398	0.0823	"GSE1159"
"PATZ1"	135	2.88	0.00401	0.0823	"GSE1159"
"STAT5A"	62	2.88	0.00402	0.0823	"GSE1159"
"ERCC8"	33	2.87	0.00407	0.0823	"GSE1159"
"WT1"	99	2.87	0.00409	0.0823	"GSE1159"
"PGAP2"	40	2.87	0.00414	0.0823	"GSE1159"
"IFT88"	54	2.86	0.00417	0.0823	"GSE1159"
"HACD3"	76	2.86	0.00418	0.0823	"GSE1159"
"DOCK1"	92	2.86	0.00426	0.0823	"GSE1159"
"PDLIM1"	60	2.85	0.00432	0.0823	"GSE1159"
"RPL7"	37	2.85	0.00437	0.0823	"GSE1159"
"ZNF84"	119	2.85	0.00437	0.0823	"GSE1159"
"NR1H3"	73	2.85	0.00441	0.0823	"GSE1159"
"PLXND1"	52	2.85	0.00444	0.0823	"GSE1159"
"MTA1"	100	2.84	0.00449	0.0823	"GSE1159"
"BBX"	70	2.84	0.00456	0.0825	"GSE1159"
"PKD2"	56	2.83	0.00461	0.0826	"GSE1159"
"TLK1"	91	2.83	0.0047	0.0826	"GSE1159"
